OBJECTID,BASKET_TYPE,SOURCE_PDF,PAGE_X,PAGE_Y,SECTION,YEAR,POINT_X,POINT_Y
20,R,MN091_2017-03-14,767.3502258042572,342.48455245036166,MN091,2017-03-14,994938.8231,233206.9929
21,S,MN091_2017-03-14,653.7982291046064,439.1754059018858,MN091,2017-03-14,994223.7971,233823.1785
22,R,MN091_2017-03-14,688.0002226511715,501.96590644383105,MN091,2017-03-14,994438.1609,234214.5493
23,S,MN091_2017-03-14,741.6245802507619,544.5658495428506,MN091,2017-03-14,994774.8649,234477.6007
24,S,MN091_2017-03-14,736.0034472148982,647.1536075255717,MN091,2017-03-14,994738.4013,235122.0277
25,S,MN091_2017-03-14,760.5889169418369,633.5235581558372,MN091,2017-03-14,994893.1337,235034.4697
26,S,MN091_2017-03-14,764.275987400848,582.8261049694265,MN091,2017-03-14,994916.8707,234715.9281
27,R,MN091_2017-03-14,824.1787241561688,184.20044459821656,MN091,2017-03-14,995297.8659,232208.7819
28,R,MN091_2017-03-14,862.9110108515015,297.29728502978105,MN091,2017-03-14,995540.1653,232915.5705
29,S,MN091_2017-03-14,884.6660507784691,375.07108694835915,MN091,2017-03-14,995676.1035,233402.0079
30,S,MN091_2017-03-14,834.5739589442383,421.6363329393207,MN091,2017-03-14,995360.6363,233698.3835
31,S,MN091_2017-03-14,863.9992140197428,477.17163788047037,MN091,2017-03-14,995545.0445,234044.5999
32,S,MN091_2017-03-14,874.4380425595446,494.9665018688247,MN091,2017-03-14,995610.4851,234155.4537
33,S,MN091_2017-03-14,919.4079857527395,613.644338615908,MN091,2017-03-14,995891.9433,234896.7685
34,H,MN091_2017-03-14,1101.7321140913991,542.8610643188586,MN091,2017-03-14,997039.0985,234437.6201
35,S,MN091_2017-03-14,1070.8975034911418,560.3417193103523,MN091,2017-03-14,996845.0317,234549.8573
36,R,MN091_2017-03-14,600.8876020021271,285.8763080134522,MN091,2017-03-14,993892.7893,232865.1821
37,R,MN091_2017-03-14,620.7377590409014,322.6343075209588,MN091,2017-03-14,994017.1969,233094.3075
38,S,MN091_2017-03-14,630.9951227297424,399.54030667067855,MN091,2017-03-14,994080.8525,233576.2321
39,R,MN091_2017-03-14,684.8937576839817,192.57747618108988,MN091,2017-03-14,994422.0045,232272.6913
40,R,MN091_2017-03-14,710.4326649488066,198.24232015619054,MN091,2017-03-14,994582.5219,232306.1743
41,S,MN091_2017-03-14,763.0471006332664,291.8707418453996,MN091,2017-03-14,994912.3191,232889.6259
42,S,MN091_2017-03-14,693.1974884826923,570.5362997935736,MN091,2017-03-14,994470.0903,234644.5609
43,S,MN091_2017-03-14,771.1077845473192,648.3454337448056,MN091,2017-03-14,994959.1111,235126.6549
44,S,MN091_2017-03-14,806.3239187591826,192.64509337127674,MN091,2017-03-14,995185.5097,232263.2423
45,R,MN091_2017-03-14,811.866477573174,216.23423493362498,MN091,2017-03-14,995220.1019,232410.8675
46,R,MN091_2017-03-14,833.6202870313427,223.78280945232837,MN091,2017-03-14,995356.7989,232456.4831
47,R,MN091_2017-03-14,842.0992717432673,299.17222651053453,MN091,2017-03-14,995409.2887,232929.0325
48,R,MN091_2017-03-14,844.9527874816558,265.25031110009877,MN091,2017-03-14,995427.6011,232715.8633
49,S,MN091_2017-03-14,846.8866742772516,486.5914917704067,MN091,2017-03-14,995437.3443,234105.1219
50,S,MN091_2017-03-14,920.1657201578491,445.07468348005204,MN091,2017-03-14,995898.5471,233838.5521
51,S,MN091_2017-03-14,805.3844265343505,657.2067719875486,MN091,2017-03-14,995174.5323,235179.4931
52,H,MN091_2017-03-14,1043.9570336706238,544.219150310324,MN091,2017-03-14,996675.8169,234450.8433
53,R,MN091_2017-03-14,523.1779895392247,204.15126570349094,MN091,2017-03-14,993405.0739,232358.4915
54,R,MN091_2017-03-14,544.147170059965,242.50743910262827,MN091,2017-03-14,993536.5013,232597.5583
55,S,MN091_2017-03-14,554.2124634286738,188.3056986675947,MN091,2017-03-14,993600.3791,232256.5015
56,R,MN091_2017-03-14,564.9439677613555,279.26587806327734,MN091,2017-03-14,993666.8623,232826.6095
57,R,MN091_2017-03-14,624.4948490339448,388.59651717331144,MN091,2017-03-14,994040.1009,233508.0639
58,S,MN091_2017-03-14,628.0935015206924,337.2794350560289,MN091,2017-03-14,994063.2879,233185.6411
